"%s can\'t be applied.", "%s não pode ser aplicado."
"%s was applied.", "%s foi aplicado."
"%s was canceled.", "%s foi cancelado."
"Actions", "Ações"
"Customer has a birthday", "Aniversário do Cliente"
"Customer is not active for long time", "Cliente não vem a loja por um longo tempo"
"Customer receive Y discount", "cliente Recebe Y de desconto"
"Customer signs up in store", "Cliente acessa loja"
"Customer votes", "Cliente vota"
"Customer will see this in his account", "Cliente verá isto em sua conta"
"Customer with email ", "Cliente com email "
"Customer writes a product\'s review", "Cliente avalia um produto"
"Date", "Data"
"Delete", "Apagar"
"Disabled", "Desabilitar"
"Earn", "Ganhar"
"Earn Maximum", "Máximo a ganhar"
"Earned %s for the order #%s.", "Ganhou %s por pedido #%s."
"Earned points will be enrolled to your account after we finish processing your order.", "Os pontos ganhos serão creditados em sua conta após o pedido despachado."
"Earning %s", "Ganhando %s"
"Earning Rules", "Regra de Ganho"
"Edit Earning Rule '%s'", "Editar Regra de Ganho '%s'"
"Edit Notification Rule '%s'", "Editar Regra de Notificação '%s'"
"Edit Referral '%s'",", "Editar indicação '%s'"
"Edit Spending Rule '%s'", "Editar regra de gasto de pontos '%s'"
"Edit Transaction '%s'", "Editar transação '%s'"
"Email", "Email"
"Email Sender", "Email origem"
"Enable Referral System", "Habilitar Sistema de indicação"
"Enabled", "Habilitado"
"Enter amount of points to spend:", "Entre o número de pontos para usar:"
"Enter contacts of your friends to invite them.", "Entre os dados dos seus amigos e convide eles."
"Event", "Evento"
"Expires", "Vence"
"Expires At", "Vence em"
"Facebook Like", "Curtir Facebook "
"Filters", "Filtros"
"First order from referred customer", "Primeiro pedido de cliente indicado"
"For each spent X points", "Para cada X pontos gastos"
"For every Y, give X points", "Para cada Y, dê X pontos"
"General Information", "Informações Gerais"
"General Settings", "Configurações Gerais"
"Give X points for every Z quantity", "Dê X pontos para cada Z quantidade"
"Give X points for every spent Y", "Dê X pontos para cada Y gasto"
"Give X points to customer", "Dê X pontos ao cliente"
"Google+ Like", "Curtir Google+"
"Grid", "Grid"
"Happy birthday! You received %s.", "Parabéns!!! Você ganhou %s."
"Invitation Email Template", "Modelo de email de convite"
"Is Active", "Esta ativo"
"Made First Order", "Fez o primeiro pedido"
"Made Order", "Fez pedido"
"Maximum Distributed Points", "Máximo de pontos distribuído"
"Maximum number is %s.", "Número máximo é %s."
"Maximum number of earned points for one customer per day", "Número máximo de pontos ganhos por um cliente por dia"
"Message", "Mensagem"
"Message Sent", "Mensagem Enviada"
"Message for customer notification email", "Mensagem para notificação de cliente por email"
"Message in the rewards history", "Mensagem no histórico de pontos de recompensa"
"Minimum spend number is %s. Earn more points to spend.", "Número mínimo uso é %s. Ganhe mais pontos para usar."
"Mirasvit Rewards", "Mirasvit Rewards"
"My Reward Points", "Meus pontos de recompensa"
"Name", "Nome"
"New Earning Rule", "Nova Regra de Ganho"
"New Notification Rule", "Nova Regra de notificação"
"New Referral", "Nova indicação"
"New Spending Rule", "Nova Regra de Uso"
"New Transaction", "Nova Transação"
"Newsletter sign up", "Assinatura de boletim informativo"
"No", "Não"
"Notification Rules", "Regras de Notificação"
"Notification Settings", "Configurações de Notificação"
"Notifications", "Notificações"
"Number of Inactive Days", "Número de dias inativos"
"Number of Points (X)", "Número de Pontos (X)"
"Number of points to give", "Número de pontos para dar"
"Order from referred customer", "Pedido de cliente indicado"
"Pinterest Pin", "Pinterest Pin"
"Point Unit Name", "Nome da unida de Pontos"
"Points", "Pontos"
"Points Balance Change", "Extrato de pontos"
"Points Summary", "Resumo de pontos"
"Points expire Email", "Email de pontos expirando"
"Points to Currency", "Pontos para Dinheiro"
"Priority", "Prioridade"
"Product Rule", "Regra de Produto"
"Quantity Step (Z)", "Quantidade passo (Z)"
"Referral Customer", "Cliente indicado"
"Referral Email", "Email indicado"
"Referral Name", "Nome do indicado"
"Referral Program", "Programa de indicação"
"Referrals", "Indicações"
"Referrals List", "Lista de indicações"
"Referred customer signs up in store", "Cliente indicado entrou na loja"
"Restore spended %s for the order #%s.", "Devolver %s gastos para esse pedido #%s."
"Restore spent points after order refunding", "Devolver pontos gastos depois de reembolso de pedido"
"Reward Points", "Pontos de recompensas"
"Reward points expire after, days", "Pontos de recompensas expiram depois de (dias)"
"Rewards - Balance update Email", "Recompensas - Email de extrato atualizado"
"Rewards - Invitation Email Template", "Recompensas - Modelo de email de convite"
"Rewards - Points expire Email", "Recompensas - Modelo de pontos vencendo"
"Rule Name", "Nome da Regra"
"Send Invitations", "Enviar convites"
"Send notification before points expiring (in days)", "Enviar notificação de pontos vencendo antes de (em dias)"
"Set 0 to disable limit", "Deixe 0 para não ter limite"
"Set Ascending Direction", "Ordem Ascendente"
"Set Descending Direction", "Ordem Descendente"
"Settings", "Configurações"
"Show", "Mostrar"
"Show message on", "Mostrar mensagens ativado"
"Signed Up", "Cadastrado"
"Sort by", "Classificar por"
"Spend %s", "Use %s"
"Spend maximum", "Uso máximo"
"Spend minimum", "Uso mínimo"
"Spent %s for the order #%s.", "Usou %s por este pedido #%s."
"Spending Rules", "Regras de Uso"
"Status", "Status"
"Step (Y)", "Passo (Y)"
"Stop further rules processing", "Parar outras regras de processar"
"Store", "Loja"
"Subtotal + Tax", "Subtotal"
"Subtotal + Tax + Shipping", "Subtotal + Frete"
"There are no Referrals", "Não há indicações"
"There are no Transactions", "Não há transações"
"Transaction #%s is expired", "Transação #%s está vencida"
"Transactions", "Transações"
"Transactions History", "Histórico de Transações"
"Twitter Tweet", "Twitter Tweet"
"Type", "Tipo"
"Update the Product", "Atualizar o produto"
"Use Reward Points", "Use Pontos de Recompensas"
"Use maximum %s", "Uso Máximo %s"
"View as", "Ver como"
"Visit My Reward Points Section", "Visitar minha página de pontos de recompensas"
"Websites", "Websites"
"Yes", "Sim"
"You Earn", "Você ganhou"
"You Spend", "Você usou"
"You can use the following variables:", "Você poder usar estas variáveis"
"You can not spend points while using coupon.", "Você não pode combinar pontos e cupons."
"You can not use coupon with points spent.", "Você não pode usar cupons com pontos."
"You earned %s and spent %s for this order.", "Você ganhou %s e usou %s neste pedido."
"You earned %s for this order.", "Você ganhou %s neste pedido."
"You have <b>%s</b> available.", "Você tem <b>%s</b> disponíveis."
"You have <b>%s</b> in your account.", "Você tem <b>%s</b> na sua conta."
"You received %s for first order of referral customer.", "Você recebeu %s pelo primeiro pedido de um cliente indicado."
"You received %s for order of referral customer.", "Você recebeu %s pelo pedido de um cliente indicado."
"You received %s for sending this product", "Você recebeu %s por enviar este produto"
"You received %s for sign up for newsletter", "Você recebeu %s por assinar nosso boletim de novidades"
"You received %s for sign up of referral customer.", "Você recebeu %s pelo cadastro de um cliente indicado."
"You received %s for signing up", "Você recebeu %s por se cadastrar"
"You received %s for voting", "Você recebeu %s por votar"
"You spent %s for this order.", "Você usou %s por este pedido."
"You will receive %s after approving of this review", "Você vai receber %s após a aprovação desta avaliação"
"You will receive %s after approving of this tag", "Você vai receber %s após a aprovação desta tag"
"You will receive %s for signing up", "Você vai receber %s por se cadastrar"
"You will receive %s for submitting a review", "Você vai receber %s por enviar uma avaliação"
"You'll earn %s for this item", "Você vai ganhar %s por este item"
"Your invitations were sent. Thanks!", "Suas indicações foram enviadas. Muito obrigado! :) "
"Your points balance will expire in %s days.", "Seu saldo de pontos vai vencer em %s dias."
